initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,block.0,block.1,train accuracy epoch0,test accuracy epoch0,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,288.10547,288.10544,91.46833333333333,96.0,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,865.9265879568485,865.9265734409466,91.46833333333333,96.0,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,231.69537,231.69536,92.03166666666667,95.88,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,691.9796334950652,691.979598477594,92.03166666666667,95.88,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,256.92242,256.92236,92.80666666666667,95.58,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,770.1147253059576,770.1147935578398,92.80666666666667,95.58,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,133.98654,133.98651,92.16666666666667,95.95,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,398.6075605094344,398.6075037573947,92.16666666666667,95.95,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,265.81528,265.81528,92.47666666666667,96.2,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,798.3913356011287,798.3913428951421,92.47666666666667,96.2,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,279.44754,279.4475,92.86166666666666,96.1,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,837.0422411662919,837.0422006665078,92.86166666666666,96.1,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,281.9854,281.98547,92.81833333333333,95.75,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,847.3692625817064,847.369286456231,92.81833333333333,95.75,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,349.56033,349.5602,92.34666666666666,95.94,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,1048.180940915056,1048.212995724259,92.34666666666666,95.94,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,325.1417,325.1417,93.04,94.61,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,977.326173476763,977.3261224137402,93.04,94.61,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,294.96317,294.96313,92.44166666666666,95.66,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,885.2573699786213,885.2573615215952,92.44166666666666,95.66,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,354.40344,354.4034,92.67,96.05,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,1065.5641981235824,1065.5641520343063,92.67,96.05,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,423.78564,423.78555,92.43666666666667,95.91,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,1270.1547202915222,1270.1547066197827,92.43666666666667,95.91,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,310.30444,310.30444,93.01166666666667,94.84,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,931.8770300301759,931.8770447156155,93.01166666666667,94.84,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,336.3966,336.3965,92.48333333333333,95.19,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,1005.4194226328993,1005.4194005395642,92.48333333333333,95.19,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,826.4992,826.49927,92.24166666666666,95.09,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,2479.7377867523824,2479.737736410099,92.24166666666666,95.09,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,749.8372,749.83734,91.91333333333333,95.48,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,2251.4382972563158,2251.438293585942,91.91333333333333,95.48,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,476.4584,476.45844,92.685,94.74,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,1424.256450812066,1424.2564377752326,92.685,94.74,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,327.90222,327.90207,92.68333333333334,94.73,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,982.5681685116966,982.5681527437195,92.68333333333334,94.73,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,146.33319,146.33315,92.50833333333334,95.03,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,439.37748908617937,439.37747078901316,92.50833333333334,95.03,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,277.68442,277.6844,92.68666666666667,95.2,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,831.3124240589682,831.3124330000072,92.68666666666667,95.2,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,353.84872,353.8488,93.04166666666667,95.95,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,1061.3468390771695,1061.3468421292425,93.04166666666667,95.95,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,387.70535,387.70523,92.71166666666667,96.19,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,1161.6695016721926,1161.6693937143705,92.71166666666667,96.19,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,461.43408,461.43417,91.96,95.94,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,1388.0965460493692,1388.0966572121968,91.96,95.94,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,594.28906,594.2889,92.85,96.19,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,1784.436726993817,1784.43668839266,92.85,96.19,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,367.79626,367.7963,92.30333333333333,95.69,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,1102.2045268482104,1102.2045377509019,92.30333333333333,95.69,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,503.5812,503.58127,92.21333333333334,96.18,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,1506.9378986798972,1506.9379138632428,92.21333333333334,96.18,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,417.99927,417.9994,92.78333333333333,96.52,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,1254.9179694443262,1254.9180512308517,92.78333333333333,96.52,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,534.1412,534.1412,92.49833333333333,95.55,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,1601.6362007906419,1601.6362377651076,92.49833333333333,95.55,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,628.1069,628.10693,92.03666666666666,94.39,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,1884.0316329117245,1884.0316074342345,92.03666666666666,94.39,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,651.6011,651.601,91.66166666666666,94.92,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,1954.2351282642303,1954.2351241639374,91.66166666666666,94.92,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,644.62256,644.6226,91.44833333333334,95.78,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,1934.9946837197854,1934.9946728553562,91.44833333333334,95.78,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,546.31165,546.31165,92.25333333333333,95.2,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,1640.907847003941,1640.9078222896617,92.25333333333333,95.2,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,308.81976,308.8199,92.65666666666667,96.71,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,926.0631761490979,926.0632010090499,92.65666666666667,96.71,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,774.5275,774.52747,92.045,95.81,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,2322.0152641656455,2322.015239480162,92.045,95.81,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,924.4286,924.42883,91.99,95.89,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,2774.352376935777,2774.3524056987335,91.99,95.89,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,644.5384,644.5383,92.88666666666667,96.45,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,1931.947284508563,1931.9472459987005,92.88666666666667,96.45,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,494.1764,494.17624,92.51833333333333,96.14,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,1485.4803824874307,1485.4803652574951,92.51833333333333,96.14,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,296.56915,296.56927,92.09666666666666,95.81,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,896.1278714267139,896.127927096835,92.09666666666666,95.81,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,375.4063,375.40625,92.685,94.56,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,1127.883842201835,1127.8837691341312,92.685,94.56,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,259.64246,259.64243,92.09,93.34,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,777.0603563791727,777.0603323754748,92.09,93.34,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,313.12952,313.12952,92.32833333333333,94.03,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,942.685009371927,942.6849800385293,92.32833333333333,94.03,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,222.73656,222.73656,91.96166666666667,94.22,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,666.9045737575728,666.9045801554303,91.96166666666667,94.22,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,390.25946,390.2595,92.07666666666667,94.43,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,1171.2729007354208,1171.2728905401564,92.07666666666667,94.43,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,221.97646,221.97647,92.14833333333333,94.94,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,665.1014563120088,665.1014260100263,92.14833333333333,94.94,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,262.00003,261.99997,92.30166666666666,93.87,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,785.3635608475794,785.3636142838175,92.30166666666666,93.87,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,198.13126,198.13127,90.86333333333333,95.0,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,598.6464498526702,598.6464859962626,90.86333333333333,95.0,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,359.37,359.37,91.99666666666667,93.96,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,1077.1708090729587,1077.170843618308,91.99666666666667,93.96,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,292.85315,292.85312,92.03666666666666,95.43,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,877.7177860094248,877.717800560072,92.03666666666666,95.43,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,188.73758,188.73753,91.745,95.04,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,564.2619646219648,564.2619752285425,91.745,95.04,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,340.49213,340.49213,92.21333333333334,93.21,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,1023.5837915528257,1023.5837830759502,92.21333333333334,93.21,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,312.86447,312.8644,92.51666666666667,95.21,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,937.8649962003243,937.8650051315257,92.51666666666667,95.21,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,304.89246,304.89246,92.11,94.96,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,914.4614136149545,914.4613805408798,92.11,94.96,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,292.54623,292.54636,92.26333333333334,93.15,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,880.4253968914343,880.425413489643,92.26333333333334,93.15,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,388.80594,388.80597,92.61166666666666,93.77,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,1168.7373950150818,1168.7374320042252,92.61166666666666,93.77,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,241.35742,241.35745,92.17166666666667,93.9,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,722.9877040550937,722.9877158874024,92.17166666666667,93.9,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,263.76627,263.7662,92.49666666666667,93.2,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,790.3535493291191,790.3535157158625,92.49666666666667,93.2,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,272.52414,272.5242,92.55,95.08,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,818.3015323540752,818.3014474115333,92.55,95.08,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,356.1656,356.1655,92.41833333333334,93.43,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,1071.475230913087,1071.4752218612387,92.41833333333334,93.43,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,521.6216,521.62134,92.33,94.85,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,1562.6176205804873,1562.6175069528854,92.33,94.85,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,316.92706,316.9271,92.20833333333333,92.87,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,950.9717130615342,950.9717221536007,92.20833333333333,92.87,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,493.31494,493.31488,91.56333333333333,93.41,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,1487.3764683072307,1487.3764453873525,91.56333333333333,93.41,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,505.80652,505.80643,92.13833333333334,93.91,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,1513.622449583608,1513.6224310754264,92.13833333333334,93.91,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,480.35626,480.35617,92.26166666666667,94.17,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,1438.8344996522533,1438.834531700372,92.26166666666667,94.17,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,392.37918,392.3792,92.19,84.43,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,1177.3979238679813,1177.397894351258,92.19,84.43,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,389.8033,389.80328,92.50833333333334,94.67,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,1170.2515826942924,1170.251539923605,92.50833333333334,94.67,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,308.44714,308.44708,92.83666666666667,93.54,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,924.9060896067525,924.9060688524258,92.83666666666667,93.54,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,738.7853,738.7854,92.26,94.56,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,2215.7607750039665,2215.760798285776,92.26,94.56,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,176.01653,176.01653,91.88833333333334,91.66,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,528.900932289991,528.9009255076597,91.88833333333334,91.66,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,466.3241,466.32404,92.40666666666667,94.59,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,1398.6451405034243,1398.645119089582,92.40666666666667,94.59,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,365.77405,365.77408,92.40166666666667,92.81,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,1097.550302260283,1097.550352764019,92.40166666666667,92.81,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,649.0198,649.0199,92.41166666666666,94.23,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,1946.6868053211613,1946.6867535676251,92.41166666666666,94.23,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,428.49747,428.4973,92.60333333333334,94.27,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,1287.037183750338,1287.0371493849443,92.60333333333334,94.27,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,371.05286,371.05298,92.33166666666666,90.71,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,1114.8392315579044,1114.8333767544766,92.33166666666666,90.71,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,447.28116,447.28122,91.97,92.58,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,1340.8264964454202,1340.8265390669321,91.97,92.58,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,859.69434,859.69415,91.60666666666667,92.59,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,2575.340809231993,2575.340937580748,91.60666666666667,92.59,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,731.58875,731.589,91.43,92.01,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,2197.701134212524,2197.7010537867845,91.43,92.01,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,395.4503,395.45038,92.26166666666667,93.51,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,1186.124039616319,1186.1240452546715,92.26166666666667,93.51,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,302.63586,302.63577,92.24666666666667,92.64,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,907.7149604424573,907.7149384599339,92.24666666666667,92.64,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,645.89197,645.89197,92.09666666666666,90.06,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,1939.9310686047372,1939.9311457911526,92.09666666666666,90.06,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,795.1331,795.13306,92.21833333333333,91.8,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,2383.249270916693,2383.2492846877635,92.21833333333333,91.8,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,504.16556,504.16568,92.79,93.78,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,1513.227948792376,1513.2279878440247,92.79,93.78,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,415.48868,415.48868,92.35,94.09,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,1248.050128324502,1248.050114771904,92.35,94.09,integrated_gradients,14
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,196.1802,196.18016,93.1,96.08,deeplift,0
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,589.3689992604803,589.3690025559187,93.1,96.08,integrated_gradients,0
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,270.26315,270.26318,93.36333333333333,96.18,deeplift,1
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,812.7501792669758,812.7501888123293,93.36333333333333,96.18,integrated_gradients,1
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,203.93806,203.93803,92.42666666666666,95.24,deeplift,2
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,614.0660433657393,614.0660748081973,92.42666666666666,95.24,integrated_gradients,2
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,288.74704,288.74707,93.10166666666667,96.29,deeplift,3
